PHOENIX SUNS Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,111_Upset_AUD_F_v01.mov,1,,1,161,111,001,AUD_F,6.03s,,-,,,,,161_PHX_FERA,11_Upset,\161_PHX_FERA\11_Upset\111_Upset_AUD_F_v01.mov,-,nclc,nclc,6040,2513409005,10160,1600,6.350,CFR,29.970,1898862210,PCM,Little / Signed,sowt,6040,2,L R,48000,16
162_PHX_Image_1,01_WeAreTheValley,011_WeAreTheValley_AUD_F_v01.mov,1,,1,162,011,001,AUD_F,10s,,-,,,Logo Loop - Most generic look ,,162_PHX_Image_1,01_WeAreTheValley,\162_PHX_Image_1\01_WeAreTheValley\011_WeAreTheValley_AUD_F_v01.mov,-,nclc,nclc,10010,2022872455,10160,1600,6.350,CFR,29.970,2533811514,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,014_WeAreTheValley_RIB_F_v02.mov,2,,1,162,014,010,RIB_F,10s,,-,,,,7/22/2020 22:52:44,162_PHX_Image_1,01_WeAreTheValley,\162_PHX_Image_1\01_WeAreTheValley\014_WeAreTheValley_RIB_F_v02.mov,-,nclc,nclc,10010,225241425,9504,144,66.000,CFR,29.970,284527849,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,018_WeAreTheValley_SCB_v01.mov,1,,,162,018,017,SCB,20s,,-,,,,7/22/2020 22:52:45,162_PHX_Image_1,01_WeAreTheValley,\162_PHX_Image_1\01_WeAreTheValley\018_WeAreTheValley_SCB_v01.mov,-,nclc,nclc,20020,370144322,1920,1080,1.778,CFR,29.970,931312998,PCM,Little / Signed,sowt,20020,2,L R,48000,16
,02_Tipoff,021_Tipoff_AUD_F_v01.mov,1,,1,162,021,001,AUD_F,10s,,-,,,For Tip off - w/ DJ audio ,,162_PHX_Image_1,02_Tipoff,\162_PHX_Image_1\02_Tipoff\021_Tipoff_AUD_F_v01.mov,-,nclc,nclc,10010,2010439833,10160,1600,6.350,CFR,29.970,2517702923,PCM,Little / Signed,sowt,10010,2,L R,48000,16
,,024_Tipoff_RIB_F_v01.mov,1,,1,162,024,010,RIB_F,,,-F,,,,,162_PHX_Image_1,02_Tipoff,\162_PHX_Image_1\02_Tipoff\024_Tipoff_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,03_WeAreTheValleyStill,031_WeAreTheValleyStill_AUD_F_v01.mov,1,,1,162,031,001,AUD_F,0.03s,,-,,,for FT if we need a still ,,162_PHX_Image_1,03_WeAreTheValleyStill,\162_PHX_Image_1\03_WeAreTheValleyStill\031_WeAreTheValleyStill_AUD_F_v01.mov,-,nclc,nclc,34,1912971673,10160,1600,6.350,CFR,29.970,8740802,PCM,Little / Signed,sowt,34,2,L R,48000,16
,,034_WeAreTheValleyStill_RIB_F_v01.mov,1,,1,162,034,010,RIB_F,,,-F,,,,,162_PHX_Image_1,03_WeAreTheValleyStill,\162_PHX_Image_1\03_WeAreTheValleyStill\034_WeAreTheValleyStill_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
163_PHX_Image_2,,,,,,,,,,,,-,,,,,163_PHX_Image_2,03_WeAreTheValleyStill,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164_PHX_Video,00_BlancoAnthem,000_BlancoAnthem_AUDIO_v01.mov,1,,1,164,000,024,AUDIO,1m33.43s,,-,,,,,164_PHX_Video,00_BlancoAnthem,\164_PHX_Video\00_BlancoAnthem\000_BlancoAnthem_AUDIO_v01.mov,-,nclc,nclc,93527,77417,16,16,1.000,CFR,29.970,19003194,PCM,Little / Signed,sowt,93527,2,L R,48000,16
,,008_BlancoAnthem_SCB_v01.mov,1,,1,164,008,017,SCB,1m33.43s,,-,,,,,164_PHX_Video,00_BlancoAnthem,\164_PHX_Video\00_BlancoAnthem\008_BlancoAnthem_SCB_v01.mov,-,nclc,nclc,93527,260724359,1920,1080,1.778,CFR,29.970,3066189458,PCM,Little / Signed,sowt,93527,2,L R,48000,16
,01_JeromeIntro,010_JeromeIntro_AUDIO_v01.mov,1,,1,164,010,024,AUDIO,8.8s,,-,,,,,164_PHX_Video,01_JeromeIntro,\164_PHX_Video\01_JeromeIntro\010_JeromeIntro_AUDIO_v01.mov,-,nclc,nclc,8809,76779,16,16,1.000,CFR,29.970,1814103,PCM,Little / Signed,sowt,8809,2,L R,48000,16
,,018_JeromeIntro_SCB_v01.mov,1,,1,164,018,017,SCB,8.8s,,-,,,,,164_PHX_Video,01_JeromeIntro,\164_PHX_Video\01_JeromeIntro\018_JeromeIntro_SCB_v01.mov,-,nclc,nclc,8809,421220103,1920,1080,1.778,CFR,29.970,465535489,PCM,Little / Signed,sowt,8809,2,L R,48000,16
,02_RubioIntro,020_RubioIntro_AUDIO_v01.mov,1,,1,164,020,024,AUDIO,10.7s,,-,,,,,164_PHX_Video,02_RubioIntro,\164_PHX_Video\02_RubioIntro\020_RubioIntro_AUDIO_v01.mov,-,nclc,nclc,10711,76778,16,16,1.000,CFR,29.970,2230513,PCM,Little / Signed,sowt,10711,2,L R,48000,16
,,028_RubioIntro_SCB_v01.mov,1,,1,164,028,017,SCB,10.7s,,-,,,,,164_PHX_Video,02_RubioIntro,\164_PHX_Video\02_RubioIntro\028_RubioIntro_SCB_v01.mov,-,nclc,nclc,10711,332757274,1920,1080,1.778,CFR,29.970,447453542,PCM,Little / Signed,sowt,10711,2,L R,44100,16
,03_DialloIntro,030_DialloIntro_AUDIO_v01.mov,1,,1,164,030,024,AUDIO,9.97s,,-,,,,,164_PHX_Video,03_DialloIntro,\164_PHX_Video\03_DialloIntro\030_DialloIntro_AUDIO_v01.mov,-,nclc,nclc,9977,74825,16,16,1.000,CFR,29.970,2069847,PCM,Little / Signed,sowt,9977,2,L R,48000,16
,,038_DialloIntro_SCB_v01.mov,1,,1,164,038,017,SCB,9.97s,,-,,,,,164_PHX_Video,03_DialloIntro,\164_PHX_Video\03_DialloIntro\038_DialloIntro_SCB_v01.mov,-,nclc,nclc,9977,299613544,1920,1080,1.778,CFR,29.970,375618653,PCM,Little / Signed,sowt,9977,2,L R,48000,16
,04_PayneIntro,040_PayneIntro_AUDIO_v01.mov,1,,1,164,040,024,AUDIO,10.1s,,-,,,,,164_PHX_Video,04_PayneIntro,\164_PHX_Video\04_PayneIntro\040_PayneIntro_AUDIO_v01.mov,-,nclc,nclc,10111,76895,16,16,1.000,CFR,29.970,2078233,PCM,Little / Signed,sowt,10111,2,L R,48000,16
,,048_PayneIntro_SCB_v01.mov,1,,1,164,048,017,SCB,10.1s,,-,,,,,164_PHX_Video,04_PayneIntro,\164_PHX_Video\04_PayneIntro\048_PayneIntro_SCB_v01.mov,-,nclc,nclc,10111,464240225,1920,1080,1.778,CFR,29.970,588671030,PCM,Little / Signed,sowt,10111,2,L R,48000,16
,05_AytonIntro,050_AytonIntro_AUDIO_v01.mov,1,,1,164,050,024,AUDIO,6.93s,,-,,,,,164_PHX_Video,05_AytonIntro,\164_PHX_Video\05_AytonIntro\050_AytonIntro_AUDIO_v01.mov,-,nclc,nclc,6941,58690,16,16,1.000,CFR,29.970,1421154,PCM,Little / Signed,sowt,6941,2,L R,48000,16
,,058_AytonIntro_SCB_v01.mov,1,,1,164,058,017,SCB,6.93s,,-,,,,,164_PHX_Video,05_AytonIntro,\164_PHX_Video\05_AytonIntro\058_AytonIntro_SCB_v01.mov,-,nclc,nclc,6941,142708420,1920,1080,1.778,CFR,29.970,125174681,PCM,Little / Signed,sowt,6941,2,L R,48000,16
,06_JohnsonIntro,060_JohnsonIntro_AUDIO_v01.mov,1,,1,164,060,024,AUDIO,11.63s,,-,,,,,164_PHX_Video,06_JohnsonIntro,\164_PHX_Video\06_JohnsonIntro\060_JohnsonIntro_AUDIO_v01.mov,-,nclc,nclc,11645,77248,16,16,1.000,CFR,29.970,2390008,PCM,Little / Signed,sowt,11645,2,L R,48000,16
,,068_JohnsonIntro_SCB_v01.mov,1,,1,164,068,017,SCB,11.63s,,-,,,,,164_PHX_Video,06_JohnsonIntro,\164_PHX_Video\06_JohnsonIntro\068_JohnsonIntro_SCB_v01.mov,-,nclc,nclc,11645,459834545,1920,1080,1.778,CFR,29.970,671622985,PCM,Little / Signed,sowt,11645,2,L R,48000,16
,07_CarterIntro,070_CarterIntro_AUDIO_v01.mov,1,,1,164,070,024,AUDIO,12.03s,,-,,,,,164_PHX_Video,07_CarterIntro,\164_PHX_Video\07_CarterIntro\070_CarterIntro_AUDIO_v01.mov,-,nclc,nclc,12046,77399,16,16,1.000,CFR,29.970,2471419,PCM,Little / Signed,sowt,12046,2,L R,48000,16
,,078_CarterIntro_SCB_v01.mov,1,,1,164,078,017,SCB,12.03s,,-,,,,,164_PHX_Video,07_CarterIntro,\164_PHX_Video\07_CarterIntro\078_CarterIntro_SCB_v01.mov,-,nclc,nclc,12046,473946562,1920,1080,1.778,CFR,29.970,715963110,PCM,Little / Signed,sowt,12046,2,L R,48000,16
,08_IntroVideo,080_IntroVideo_Audio_v01.mov,1,,1,164,080,,,1m19.63s,,-,,,Music Director starts audio at the end ,,164_PHX_Video,08_IntroVideo,\164_PHX_Video\08_IntroVideo\080_IntroVideo_Audio_v01.mov,-,nclc,nclc,79713,72627,16,16,1.000,CFR,29.970,16156895,PCM,Little / Signed,sowt,79713,2,L R,48000,16
,,081_IntroVideo_AUD_F_v01.mov,1,,1,164,081,001,AUD_F,1m19.87s,,-,,,,,164_PHX_Video,08_IntroVideo,\164_PHX_Video\08_IntroVideo\081_IntroVideo_AUD_F_v01.mov,-,nclc,nclc,79947,303490638,10160,1600,6.350,CFR,29.970,3048366655,PCM,Little / Signed,sowt,79947,2,L R,48000,16
,,084_IntroVideo_RIB_F_v01.mov,1,,,164,084,010,RIB_F,1m19.87s,,-,,,,7/22/2020 22:55:29,164_PHX_Video,08_IntroVideo,\164_PHX_Video\08_IntroVideo\084_IntroVideo_RIB_F_v01.mov,-,nclc,nclc,79947,18529420,9504,144,66.000,CFR,29.970,200656096,PCM,Little / Signed,sowt,79947,2,L R,48000,16
,,088_IntroVideo_SCB_v01.mov,1,,,164,088,017,SCB,1m19.63s,,-,,,,7/22/2020 22:55:29,164_PHX_Video,08_IntroVideo,\164_PHX_Video\08_IntroVideo\088_IntroVideo_SCB_v01.mov,-,nclc,nclc,79713,184995424,1920,1080,1.778,CFR,29.970,1858751832,PCM,Little / Signed,sowt,79713,2,L R,48000,16
,09_SaricIntro,090_SaricIntro_AUDIO_v01.mov,1,,1,164,090,024,AUDIO,6.97s,,-,,,,,164_PHX_Video,09_SaricIntro,\164_PHX_Video\09_SaricIntro\090_SaricIntro_AUDIO_v01.mov,-,nclc,nclc,6974,77344,16,16,1.000,CFR,29.970,1441519,PCM,Little / Signed,sowt,6974,2,L R,48000,16
,,098_SaricIntro_SCB_v01.mov,1,,1,164,098,017,SCB,6.97s,,-,,,,,164_PHX_Video,09_SaricIntro,\164_PHX_Video\09_SaricIntro\098_SaricIntro_SCB_v01.mov,-,nclc,nclc,6974,451492026,1920,1080,1.778,CFR,29.970,394941972,PCM,Little / Signed,sowt,6974,2,L R,48000,16
