NBA GENERIC Media Delivery,,SYNC COMPLETE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,05_EvacuationGraphic2,058_Evacuation_Graphics2_PauseGameplay_SCB_v01.mov,1,,,232,058,017,SCB,0.03s,,-,,,,7/21/2020 7:41:05,232_NBA_NBAINST,05_EvacuationGraphic2,\232_NBA_NBAINST\05_EvacuationGraphic2\058_Evacuation_Graphics2_PauseGameplay_SCB_v01.mov,-,nclc,nclc,34,89194316,1920,1080,1.778,CFR,29.970,372695,-,-,-,-,-,-,-,-
,06_EvacuationGraphic3,068_Evacuation_Graphic3_ShelterInPlace_SCB_v01.mov,1,,,232,068,017,SCB,0.03s,,-,,,,7/21/2020 7:41:04,232_NBA_NBAINST,06_EvacuationGraphic3,\232_NBA_NBAINST\06_EvacuationGraphic3\068_Evacuation_Graphic3_ShelterInPlace_SCB_v01.mov,-,nclc,nclc,34,96826117,1920,1080,1.778,CFR,29.970,404526,-,-,-,-,-,-,-,-
233_NBA_CRN_ROTATE,00_Logoman,007_LogomanStill_CRN_v01.mov,1,,1,233,007,014,CRN,0.03s,,-,,,,,233_NBA_CRN_ROTATE,00_Logoman,\233_NBA_CRN_ROTATE\00_Logoman\007_LogomanStill_CRN_v01.mov,-,nclc,nclc,34,"23,599,097",3328,208,16.000,CFR,29.970,99108,-,-,-,-,-,-,-,-
,02_WholeNewGameBlue,027_WholeNewGameBlue_CRN_v02.mov,2,,2,233,027,014,CRN,0.03s,,-,,,,7/23/2020 7:39:59,233_NBA_CRN_ROTATE,02_WholeNewGameBlue,\233_NBA_CRN_ROTATE\02_WholeNewGameBlue\027_WholeNewGameBlue_CRN_v02.mov,-,nclc,nclc,34,16742681,3328,208,16.000,CFR,29.970,70511,-,-,-,-,-,-,-,-
234_NBA_MSTEAMS_A,00_BKN,001_MSTeams_BKN_AUD_F_v01.mov,1,,,234,001,001,AUD_F,0.03s,,-,,"Worng clip here in the label, but I found it in the right slot? Do not change. -JL",,7/21/2020 8:13:26,234_NBA_MSTEAMS_A,00_BKN,\234_NBA_MSTEAMS_A\00_BKN\001_MSTeams_BKN_AUD_F_v01.mov,-,nclc,nclc,34,1060491807,10160,1600,6.350,CFR,29.970,4423819,-,-,-,-,-,-,-,-
,01_BOS,011_MSTeams_BOS_AUD_F_v01.mov,1,says hou should say bos - cd,,234,011,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:26,234_NBA_MSTEAMS_A,01_BOS,\234_NBA_MSTEAMS_A\01_BOS\011_MSTeams_BOS_AUD_F_v01.mov,-,nclc,nclc,34,2447389521,10160,1600,6.350,CFR,29.970,10208344,-,-,-,-,-,-,-,-
,02_DAL,021_MSTeams_DAL_AUD_F_v01.mov,1,,,234,021,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:27,234_NBA_MSTEAMS_A,02_DAL,\234_NBA_MSTEAMS_A\02_DAL\021_MSTeams_DAL_AUD_F_v01.mov,-,nclc,nclc,34,2480755961,10160,1600,6.350,CFR,29.970,10347510,-,-,-,-,-,-,-,-
,03_DEN,031_MSTeams_DEN_AUD_F_v01.mov,1,,1,234,031,001,AUD_F,0.03s,,-,,,,,234_NBA_MSTEAMS_A,03_DEN,\234_NBA_MSTEAMS_A\03_DEN\031_MSTeams_DEN_AUD_F_v01.mov,-,nclc,nclc,34,1481660456,10160,1600,6.350,CFR,29.970,6180445,-,-,-,-,-,-,-,-
,04_HOU,041_MSTeams_HOU_AUD_F_v02.mov,2,,,234,041,001,AUD_F,0.03s,,-,,,,7/23/2020 7:45:59,234_NBA_MSTEAMS_A,04_HOU,\234_NBA_MSTEAMS_A\04_HOU\041_MSTeams_HOU_AUD_F_v02.mov,-,nclc,nclc,34,1809550238,10160,1600,6.350,CFR,29.970,7548020,-,-,-,-,-,-,-,-
,05_IND,051_MSTeams_IND_AUD_F_v02.mov,1,,,234,051,001,AUD_F,0.03s,,-,,,,,234_NBA_MSTEAMS_A,05_IND,\234_NBA_MSTEAMS_A\05_IND\051_MSTeams_IND_AUD_F_v02.mov,-,nclc,nclc,34,2298556343,10160,1600,6.350,CFR,29.970,9587585,-,-,-,-,-,-,-,-
,06_LAC,061_MSTeams_LAC_AUD_F_v01.mov,1,,,234,061,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:28,234_NBA_MSTEAMS_A,06_LAC,\234_NBA_MSTEAMS_A\06_LAC\061_MSTeams_LAC_AUD_F_v01.mov,-,nclc,nclc,34,2153872212,10160,1600,6.350,CFR,29.970,8984131,-,-,-,-,-,-,-,-
,07_LAL,071_MSTeams_LAL_AUD_F_v01.mov,1,,,234,071,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:29,234_NBA_MSTEAMS_A,07_LAL,\234_NBA_MSTEAMS_A\07_LAL\071_MSTeams_LAL_AUD_F_v01.mov,-,nclc,nclc,34,2326806544,10160,1600,6.350,CFR,29.970,9705412,-,-,-,-,-,-,-,-
,08_MEM,081_MSTeams_MEM_AUD_F_v02.mov,2,,,234,081,001,AUD_F,0.03s,,-,,,,7/23/2020 7:46:30,234_NBA_MSTEAMS_A,08_MEM,\234_NBA_MSTEAMS_A\08_MEM\081_MSTeams_MEM_AUD_F_v02.mov,-,nclc,nclc,34,2043016299,10160,1600,6.350,CFR,29.970,8521769,-,-,-,-,-,-,-,-
,09_MIA,091_MSTeams_MIA_AUD_F_v01.mov,1,,,234,091,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:33,234_NBA_MSTEAMS_A,09_MIA,\234_NBA_MSTEAMS_A\09_MIA\091_MSTeams_MIA_AUD_F_v01.mov,-,nclc,nclc,34,2208372777,10160,1600,6.350,CFR,29.970,9211444,-,-,-,-,-,-,-,-
,10_MIL,101_MSTeams_MIL_AUD_F_v01.mov,1,,,234,101,001,AUD_F,0.03s,,-,,,,7/21/2020 8:13:33,234_NBA_MSTEAMS_A,10_MIL,\234_NBA_MSTEAMS_A\10_MIL\101_MSTeams_MIL_AUD_F_v01.mov,-,nclc,nclc,34,1925523829,10160,1600,6.350,CFR,29.970,8031727,-,-,-,-,-,-,-,-
,12_NOP,121_MSTeams_NOP_AUD_F_v01.mov,1,,,234,121,001,AUD_F,0.03s,,-,,,,7/21/2020 8:50:23,234_NBA_MSTEAMS_A,12_NOP,\234_NBA_MSTEAMS_A\12_NOP\121_MSTeams_NOP_AUD_F_v01.mov,-,nclc,nclc,34,1845983688,10160,1600,6.350,CFR,29.970,7699978,-,-,-,-,-,-,-,-
