CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,17_MIL_HOU,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18_DAL_PHX,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,18_DAL_PHX,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,18_DAL_PHX,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,19_TOR_MIA,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,19_TOR_MIA,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,19_TOR_MIA,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,20_DEN_OKC,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,20_DEN_OKC,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,20_DEN_OKC,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,21_IND_WAS,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,21_IND_WAS,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,21_IND_WAS,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,22_MEM_NOP,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,22_MEM_NOP,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
