BROOKLYN NETS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth,
,10_NetsvsJazzWhite,101_NetsvsJazzWhite_AUD_F_v01.mov,1,,1,012,101,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,10_NetsvsJazzWhite,\012_BKN_Image_1\10_NetsvsJazzWhite\101_NetsvsJazzWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1137010361,10160,1600,6.350,CFR,29.970,4268100699,-,-,-,-,-,-,-,-,
,,104_NetsvsJazzWhite_RIB_F_v01.mov,1,,1,012,104,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,10_NetsvsJazzWhite,\012_BKN_Image_1\10_NetsvsJazzWhite\104_NetsvsJazzWhite_RIB_F_v01.mov,-,nclc,nclc,30030,73976999,9504,144,66.000,CFR,29.970,277735223,-,-,-,-,-,-,-,-,
,,108_NetsvsJazzWhite_SCB_v01.mov,1,,1,012,108,017,SCB,30s,,-,,,,,012_BKN_Image_1,10_NetsvsJazzWhite,\012_BKN_Image_1\10_NetsvsJazzWhite\108_NetsvsJazzWhite_SCB_v01.mov,-,nclc,nclc,30030,144000312,1920,1080,1.778,CFR,29.970,540585513,-,-,-,-,-,-,-,-,
,11_NetsvsJazzBlack,111_NetsvsJazzBlack_AUD_F_v01.mov,1,,1,012,111,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,11_NetsvsJazzBlack,\012_BKN_Image_1\11_NetsvsJazzBlack\111_NetsvsJazzBlack_AUD_F_v01.mov,-,nclc,nclc,30030,975566199,10160,1600,6.350,CFR,29.970,3662079078,-,-,-,-,-,-,-,-,
,,114_NetsvsJazzBlack_RIB_F_v01.mov,1,,1,012,114,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,11_NetsvsJazzBlack,\012_BKN_Image_1\11_NetsvsJazzBlack\114_NetsvsJazzBlack_RIB_F_v01.mov,-,nclc,nclc,30030,72321295,9504,144,66.000,CFR,29.970,271520129,-,-,-,-,-,-,-,-,
,,118_NetsvsJazzBlack_SCB_v01.mov,1,,1,012,118,017,SCB,30s,,-,,,,,012_BKN_Image_1,11_NetsvsJazzBlack,\012_BKN_Image_1\11_NetsvsJazzBlack\118_NetsvsJazzBlack_SCB_v01.mov,-,nclc,nclc,30030,131586920,1920,1080,1.778,CFR,29.970,493988696,-,-,-,-,-,-,-,-,
,12_NetsvsKingsWhite,121_NetsvsKingsWhite_AUD_F_v01.mov,1,,1,012,121,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,12_NetsvsKingsWhite,\012_BKN_Image_1\12_NetsvsKingsWhite\121_NetsvsKingsWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1165798245,10160,1600,6.350,CFR,29.970,4376163332,-,-,-,-,-,-,-,-,
,,124_NetsvsKingsWhite_RIB_F_v01.mov,1,,1,012,124,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,12_NetsvsKingsWhite,\012_BKN_Image_1\12_NetsvsKingsWhite\124_NetsvsKingsWhite_RIB_F_v01.mov,-,nclc,nclc,30030,71716212,9504,144,66.000,CFR,29.970,269248789,-,-,-,-,-,-,-,-,
,,128_NetsvsKingsWhite_SCB_v01.mov,1,,1,012,128,017,SCB,30s,,-,,,,,012_BKN_Image_1,12_NetsvsKingsWhite,\012_BKN_Image_1\12_NetsvsKingsWhite\128_NetsvsKingsWhite_SCB_v01.mov,-,nclc,nclc,30030,157615837,1920,1080,1.778,CFR,29.970,591694832,-,-,-,-,-,-,-,-,
,13_NetsvsKingsBlack,131_NetsvsKingsBlack_AUD_F_v01.mov,1,,1,012,131,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,13_NetsvsKingsBlack,\012_BKN_Image_1\13_NetsvsKingsBlack\131_NetsvsKingsBlack_AUD_F_v01.mov,-,nclc,nclc,30030,1004982650,10160,1600,6.350,CFR,29.970,3772501187,-,-,-,-,-,-,-,-,
,,134_NetsvsKingsBlack_RIB_F_v01.mov,1,,1,012,134,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,13_NetsvsKingsBlack,\012_BKN_Image_1\13_NetsvsKingsBlack\134_NetsvsKingsBlack_RIB_F_v01.mov,-,nclc,nclc,30030,69798968,9504,144,66.000,CFR,29.970,262051929,-,-,-,-,-,-,-,-,
,,138_NetsvsKingsBlack_SCB_v01.mov,1,,1,012,138,017,SCB,30s,,-,,,,,012_BKN_Image_1,13_NetsvsKingsBlack,\012_BKN_Image_1\13_NetsvsKingsBlack\138_NetsvsKingsBlack_SCB_v01.mov,-,nclc,nclc,30030,145208624,1920,1080,1.778,CFR,29.970,545121212,-,-,-,-,-,-,-,-,
,14_NetsvsPelicansWhite,141_NetsvsPelicansWhite_AUD_F_v01.mov,1,,1,012,141,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,14_NetsvsPelicansWhite,\012_BKN_Image_1\14_NetsvsPelicansWhite\141_NetsvsPelicansWhite_AUD_F_v01.mov,-,nclc,nclc,30030,1137094205,10160,1600,6.350,CFR,29.970,4268415428,-,-,-,-,-,-,-,-,
,,144_NetsvsPelicansWhite_RIB_F_v01.mov,1,,1,012,144,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,14_NetsvsPelicansWhite,\012_BKN_Image_1\14_NetsvsPelicansWhite\144_NetsvsPelicansWhite_RIB_F_v01.mov,-,nclc,nclc,30030,71835068,9504,144,66.000,CFR,29.970,269694943,-,-,-,-,-,-,-,-,
,,148_NetsvsPelicansWhite_SCB_v01.mov,1,,1,012,148,017,SCB,30s,,-,,,,,012_BKN_Image_1,14_NetsvsPelicansWhite,\012_BKN_Image_1\14_NetsvsPelicansWhite\148_NetsvsPelicansWhite_SCB_v01.mov,-,nclc,nclc,30030,139004617,1920,1080,1.778,CFR,29.970,521832893,-,-,-,-,-,-,-,-,
,15_NetsvsPelicansBlack,151_NetsvsPelicansBlack_AUD_F_v01.mov,1,,,012,151,001,AUD_F,30s,,-,,,,,012_BKN_Image_1,15_NetsvsPelicansBlack,\012_BKN_Image_1\15_NetsvsPelicansBlack\151_NetsvsPelicansBlack_AUD_F_v01.mov,-,nclc,nclc,30030,981477300,10160,1600,6.350,CFR,29.970,3684267888,-,-,-,-,-,-,-,-,
,,154_NetsvsPelicansBlack_RIB_F_v01.mov,1,,,012,154,010,RIB_F,30s,,-,,,,,012_BKN_Image_1,15_NetsvsPelicansBlack,\012_BKN_Image_1\15_NetsvsPelicansBlack\154_NetsvsPelicansBlack_RIB_F_v01.mov,-,nclc,nclc,30030,70290841,9504,144,66.000,CFR,29.970,263898294,-,-,-,-,-,-,-,-,
