OKLAHOMA CITY THUNDER Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version, Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,124_NicePassClean_RIB_F_v02.mov,1,,1,130,124,010,RIB_F,10s,,-,23,,,,130_OKC_PCC,12_NicePass_Clean,\130_OKC_PCC\12_NicePass_Clean\124_NicePassClean_RIB_F_v02.mov,-,nclc,nclc,10010,334630444,9504,144,66.000,CFR,29.970,420795888,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,128_NicePassClean_SCB_v01.mov,1,,1,130,128,017,SCB,10s,,-,23,,,,130_OKC_PCC,12_NicePass_Clean,\130_OKC_PCC\12_NicePass_Clean\128_NicePassClean_SCB_v01.mov,-,nclc,nclc,10010,522092457,1920,1080,1.778,CFR,29.970,655172914,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,13_NicePass_Glitchy,131_NicePassGlitchy_AUD_F_v01.mov,1,,1,130,131,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\131_NicePassGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1832811632,10160,1600,6.350,CFR,29.970,466845059,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,134_NicePassGlitchy_RIB_F_v02.mov,1,,1,130,134,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\134_NicePassGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,190478020,9504,144,66.000,CFR,29.970,49184017,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,138_NicePassGlitchy_SCB_v01.mov,1,,1,130,138,017,SCB,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\138_NicePassGlitchy_SCB_v01.mov,-,nclc,nclc,2036,331490081,1920,1080,1.778,CFR,29.970,84822099,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,15_Swish_Glitchy,151_SwishGlitchy_AUD_F_v01.mov,1,,1,130,151,001,AUD_F,2.03s,,-,24,,Only have glitchy ,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\151_SwishGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1771275990,10160,1600,6.350,CFR,29.970,451189086,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,154_SwishGlitchy_RIB_F_v01.mov,1,,1,130,154,010,RIB_F,2.03s,,-,24,,,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\154_SwishGlitchy_RIB_F_v01.mov,-,nclc,nclc,2036,197582592,9504,144,66.000,CFR,29.970,50990028,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,158_SwishGlitchy_SCB_v01.mov,1,,1,130,158,017,SCB,2.03s,,-,24,,,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\158_SwishGlitchy_SCB_v01.mov,-,nclc,nclc,2036,330160435,1920,1080,1.778,CFR,29.970,84483801,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,17_WhatAPlay_Glitchy,171_WhatAPlay_Glitchy_AUD_F_v01.mov,1,,1,130,171,001,AUD_F,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\171_WhatAPlay_Glitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1846001549,10160,1600,6.350,CFR,29.970,470200856,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,174_WhatAPlay_Glitchy_RIB_F_v02.mov,1,,1,130,174,010,RIB_F,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\174_WhatAPlay_Glitchy_RIB_F_v02.mov,-,nclc,nclc,2036,197751874,9504,144,66.000,CFR,29.970,51034643,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,178_WhatAPlay_Glitchy_SCB_v01.mov,1,,1,130,178,017,SCB,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\178_WhatAPlay_Glitchy_SCB_v01.mov,-,nclc,nclc,2036,333099476,1920,1080,1.778,CFR,29.970,85231567,PCM,Little / Signed,sowt,2036,2,L R,44100,16
