LA CLIPPERS Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,Audio Format,Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,014_LACStartingLineup_RIB_F_v01.mov,1,,0,075,014,010,RIB_F,10s,,-,,,,7/22/2020,075_LAC_Misc,01_LACStartingLineups,\075_LAC_Misc\01_LACStartingLineups\014_LACStartingLineup_RIB_F_v01.mov,-,nclc,nclc,10010,147589680,9504,144,66.000,CFR,29.970,184674868,-,-,-,-,-,-,-,-
,,018_LACStartingLineup_SCB_v01.mov,1,,,075,018,017,SCB,10s,,-,,,,7/22/2020,075_LAC_Misc,01_LACStartingLineups,\075_LAC_Misc\01_LACStartingLineups\018_LACStartingLineup_SCB_v01.mov,-,nclc,nclc,10010,312652524,1920,1080,1.778,CFR,29.970,391209938,-,-,-,-,-,-,-,-
,02_MatchupClippersvsNets,021_MatchupClippersvsNets_AUD_F_v02.mov,2,,2,075,021,001,AUD_F,10s,,-,,,"Should have SCB, AUD, RIB...",7/18/2020,075_LAC_Misc,02_MatchupClippersvsNets,\075_LAC_Misc\02_MatchupClippersvsNets\021_MatchupClippersvsNets_AUD_F_v02.mov,-,nclc,nclc,10010,2468982918,10160,1600,6.350,CFR,29.970,3089321041,-,-,-,-,-,-,-,-
,,024_MatchupClippersvsNets_RIB_F_v01.mov,1,,,075,024,010,RIB_F,10s,,-,,,,7/22/2020,075_LAC_Misc,02_MatchupClippersvsNets,\075_LAC_Misc\02_MatchupClippersvsNets\024_MatchupClippersvsNets_RIB_F_v01.mov,-,nclc,nclc,10010,110267564,9504,144,66.000,CFR,29.970,137974943,-,-,-,-,-,-,-,-
,,028_MatchupClippersvsNets_SCB_v01.mov,1,,,075,028,017,SCB,10s,,-,,,,7/22/2020,075_LAC_Misc,02_MatchupClippersvsNets,\075_LAC_Misc\02_MatchupClippersvsNets\028_MatchupClippersvsNets_SCB_v01.mov,-,nclc,nclc,10010,340681373,1920,1080,1.778,CFR,29.970,426281086,-,-,-,-,-,-,-,-
,03_MatchupClippersvsPelicans,031_MatchupClippersvsPelicans_AUD_F_v01.mov,1,,,075,031,001,AUD_F,10s,,-,,,,7/22/2020,075_LAC_Misc,03_MatchupClippersvsPelicans,\075_LAC_Misc\03_MatchupClippersvsPelicans\031_MatchupClippersvsPelicans_AUD_F_v01.mov,-,nclc,nclc,10010,2615459521,10160,1600,6.350,CFR,29.970,3272600074,-,-,-,-,-,-,-,-
,,034_MatchupClippersvsPelicans_RIB_F_v01.mov,1,,,075,034,010,RIB_F,10s,,-,,,,7/22/2020,075_LAC_Misc,03_MatchupClippersvsPelicans,\075_LAC_Misc\03_MatchupClippersvsPelicans\034_MatchupClippersvsPelicans_RIB_F_v01.mov,-,nclc,nclc,10010,113231926,9504,144,66.000,CFR,29.970,141684185,-,-,-,-,-,-,-,-
,,038_MatchupClippersvsPelicans_SCB_v00.mov,0,,,075,038,017,SCB,10s,,-,,,,7/22/2020,075_LAC_Misc,03_MatchupClippersvsPelicans,\075_LAC_Misc\03_MatchupClippersvsPelicans\038_MatchupClippersvsPelicans_SCB_v00.mov,-,nclc,nclc,10010,353110058,1920,1080,1.778,CFR,29.970,441832494,-,-,-,-,-,-,-,-
,04_MatchupClippersvsSuns,041_MatchupClippersvsSuns_AUD_F_v01.mov,1,,,075,041,001,AUD_F,10s,,-,,,,7/18/2020,075_LAC_Misc,04_MatchupClippersvsSuns,\075_LAC_Misc\04_MatchupClippersvsSuns\041_MatchupClippersvsSuns_AUD_F_v01.mov,-,nclc,nclc,10010,2647995558,10160,1600,6.350,CFR,29.970,3313310831,-,-,-,-,-,-,-,-
,,044_MatchupClippersvsSuns_RIB_F_v01.mov,1,,,075,044,010,RIB_F,10s,,-,,,,7/18/2020,075_LAC_Misc,04_MatchupClippersvsSuns,\075_LAC_Misc\04_MatchupClippersvsSuns\044_MatchupClippersvsSuns_RIB_F_v01.mov,-,nclc,nclc,10010,114444666,9504,144,66.000,CFR,29.970,143201612,-,-,-,-,-,-,-,-
,,048_MatchupClippersvsSuns_SCB_v01.mov,1,,,075,048,017,SCB,10s,,-,,,,7/22/2020,075_LAC_Misc,04_MatchupClippersvsSuns,\075_LAC_Misc\04_MatchupClippersvsSuns\048_MatchupClippersvsSuns_SCB_v01.mov,-,nclc,nclc,10010,354765439,1920,1080,1.778,CFR,29.970,443903796,-,-,-,-,-,-,-,-
,05_MatchupClippersvsThunder,051_MatchupClippersvsThunder_AUD_F_v01.mov,1,,,075,051,001,AUD_F,10s,,-,,,,7/22/2020,075_LAC_Misc,05_MatchupClippersvsThunder,\075_LAC_Misc\05_MatchupClippersvsThunder\051_MatchupClippersvsThunder_AUD_F_v01.mov,-,nclc,nclc,10010,2602468466,10160,1600,6.350,CFR,29.970,3256345001,-,-,-,-,-,-,-,-
,,054_MatchupClippersvsThunder_RIB_F_v01.mov,1,,,075,054,010,RIB_F,10s,,-,,,,7/22/2020,075_LAC_Misc,05_MatchupClippersvsThunder,\075_LAC_Misc\05_MatchupClippersvsThunder\054_MatchupClippersvsThunder_RIB_F_v01.mov,-,nclc,nclc,10010,111188856,9504,144,66.000,CFR,29.970,139127719,-,-,-,-,-,-,-,-
